date,total_leads,dm_leads,organic_leads,year,month,day,dow,dow_name,week_num,is_weekend,is_saturday,is_sunday,day_of_season,temp_max,temp_min,temp_mean,precip_in,snowfall_in,snow_depth,sunshine_hrs,rain_in,wind_max_mph,solar_radiation
2021-04-30,83,18,65,2021,4,30,4,Friday,17,False,False,False,74,65.7,45.9,58.2,0.028,0.0,0.0,12.468872222222222,0.028,20.2,23.99
2021-05-01,20,8,12,2021,5,1,5,Saturday,17,True,True,False,75,64.9,41.6,52.7,0.0,0.0,0.0,13.003122222222222,0.0,15.4,28.22
2021-05-03,109,9,100,2021,5,3,0,Monday,18,False,False,False,77,72.5,60.5,65.5,0.551,0.0,0.0,3.443661111111111,0.551,9.3,10.06
2021-05-04,84,12,72,2021,5,4,1,Tuesday,18,False,False,False,78,81.7,61.4,70.2,0.205,0.0,0.0,10.223483333333334,0.205,10.2,17.86
2021-05-05,64,8,56,2021,5,5,2,Wednesday,18,False,False,False,79,70.9,53.7,63.7,0.476,0.0,0.0,6.565008333333333,0.476,12.9,11.75
2021-05-06,56,10,46,2021,5,6,3,Thursday,18,False,False,False,80,63.0,46.2,54.9,0.0,0.0,0.0,12.109047222222221,0.0,10.6,26.37
2021-05-07,51,4,47,2021,5,7,4,Friday,18,False,False,False,81,64.8,43.2,53.9,0.059,0.0,0.0,8.872219444444445,0.059,7.0,19.68
2021-05-08,23,6,17,2021,5,8,5,Saturday,18,True,True,False,82,56.3,43.5,48.9,0.146,0.0,0.0,11.97555,0.146,11.6,19.18
2021-05-10,42,5,37,2021,5,10,0,Monday,19,False,False,False,84,61.3,47.3,54.0,0.016,0.0,0.0,13.30115,0.016,12.1,25.12
2022-02-15,17,0,17,2022,2,15,1,Tuesday,7,False,False,False,0,33.3,16.5,23.8,0.0,0.0,0.098,9.6883,0.0,6.5,14.93
2022-02-16,22,1,21,2022,2,16,2,Wednesday,7,False,False,False,1,47.5,23.2,35.2,0.0,0.0,0.089,9.650291666666668,0.0,11.0,12.86
2022-02-17,20,0,20,2022,2,17,3,Thursday,7,False,False,False,2,62.1,43.2,53.6,0.193,0.0,0.031,5.224816666666666,0.193,15.6,9.37
2022-02-18,21,0,21,2022,2,18,4,Friday,7,False,False,False,3,59.4,25.2,43.1,0.165,0.0,0.0,9.31195,0.165,21.1,14.51
2022-02-19,7,4,3,2022,2,19,5,Saturday,7,True,True,False,4,40.2,21.1,28.2,0.008,0.055,0.0,7.302908333333334,0.0,19.6,10.17
2022-02-21,97,69,28,2022,2,21,0,Monday,8,False,False,False,6,56.7,28.9,40.8,0.0,0.0,0.0,9.99008888888889,0.0,10.0,15.82
2022-02-22,61,35,26,2022,2,22,1,Tuesday,8,False,False,False,7,59.4,40.9,51.7,0.256,0.0,0.0,0.0,0.256,17.0,3.87
2022-02-23,50,27,23,2022,2,23,2,Wednesday,8,False,False,False,8,66.4,38.3,55.2,0.012,0.0,0.0,6.1267555555555555,0.012,13.3,9.59
2022-02-24,60,26,34,2022,2,24,3,Thursday,8,False,False,False,9,36.2,28.8,31.5,0.154,0.303,0.0,0.9389138888888889,0.11,10.4,3.62
2022-02-25,36,17,19,2022,2,25,4,Friday,8,False,False,False,10,48.5,29.8,35.8,0.697,0.0,0.0,5.371358333333333,0.697,18.1,8.13
2022-02-26,2,1,1,2022,2,26,5,Saturday,8,True,True,False,11,39.2,24.4,30.3,0.0,0.0,0.0,8.367463888888889,0.0,9.4,14.81
2022-02-28,74,23,51,2022,2,28,0,Monday,9,False,False,False,13,39.0,24.9,32.1,0.0,0.0,0.0,10.38335,0.0,9.5,17.44
2022-03-01,44,14,30,2022,3,1,1,Tuesday,9,False,False,False,14,50.3,26.9,38.5,0.0,0.0,0.0,5.996469444444445,0.0,10.3,11.14
2022-03-02,78,22,56,2022,3,2,2,Wednesday,9,False,False,False,15,52.6,35.2,43.7,0.0,0.0,0.0,10.472319444444445,0.0,8.4,17.43
2022-03-03,78,15,63,2022,3,3,3,Thursday,9,False,False,False,16,44.1,26.1,39.5,0.004,0.0,0.0,10.496566666666666,0.004,11.7,17.5
2022-03-04,62,13,49,2022,3,4,4,Friday,9,False,False,False,17,38.8,18.3,28.1,0.0,0.0,0.0,10.515322222222224,0.0,7.2,18.41
2022-03-05,24,4,20,2022,3,5,5,Saturday,9,True,True,False,18,47.6,26.6,37.6,0.0,0.0,0.0,7.924863888888888,0.0,8.3,11.87
2022-03-07,167,53,114,2022,3,7,0,Monday,10,False,False,False,20,72.2,50.5,63.4,0.102,0.0,0.0,6.0,0.102,19.5,12.11
2022-03-08,137,52,85,2022,3,8,1,Tuesday,10,False,False,False,21,46.6,35.2,40.9,0.0,0.0,0.0,10.61438888888889,0.0,14.6,17.84
2022-03-09,99,38,61,2022,3,9,2,Wednesday,10,False,False,False,22,38.9,33.7,37.0,0.524,0.551,0.072,0.0,0.445,8.2,2.09
2022-03-10,92,23,69,2022,3,10,3,Thursday,10,False,False,False,23,51.7,28.0,38.7,0.0,0.0,0.116,9.0,0.0,6.0,16.48
2022-03-11,102,32,70,2022,3,11,4,Friday,10,False,False,False,24,54.5,28.8,41.8,0.0,0.0,0.068,10.649544444444444,0.0,8.8,18.77
2022-03-12,33,6,27,2022,3,12,5,Saturday,10,True,True,False,25,42.8,19.9,31.7,0.689,2.563,0.148,0.0,0.323,18.9,3.0
2022-03-13,8,0,8,2022,3,13,6,Sunday,10,True,False,True,26,36.9,18.4,26.8,0.0,0.0,0.246,9.186822222222222,0.0,13.8,18.34
2022-03-14,108,34,74,2022,3,14,0,Monday,11,False,False,False,27,56.2,28.8,42.3,0.0,0.0,0.187,10.892847222222223,0.0,10.2,19.16
2022-03-15,120,34,86,2022,3,15,1,Tuesday,11,False,False,False,28,65.6,37.6,51.2,0.0,0.0,0.089,10.864772222222223,0.0,10.1,17.69
2022-03-16,107,35,72,2022,3,16,2,Wednesday,11,False,False,False,29,67.0,41.2,53.8,0.0,0.0,0.019,10.997794444444445,0.0,8.8,19.49
2022-03-17,122,44,78,2022,3,17,3,Thursday,11,False,False,False,30,60.3,44.2,51.8,0.114,0.0,0.0,0.880488888888889,0.114,7.7,6.83
2022-03-18,183,92,91,2022,3,18,4,Friday,11,False,False,False,31,71.8,47.6,57.5,0.0,0.0,0.0,8.848941666666667,0.0,9.3,17.81
2022-03-19,96,61,35,2022,3,19,5,Saturday,11,True,True,False,32,71.7,50.9,61.0,0.012,0.0,0.0,11.134780555555555,0.012,15.5,16.95
2022-03-20,48,31,17,2022,3,20,6,Sunday,11,True,False,True,33,54.8,45.9,50.7,0.0,0.0,0.0,5.669016666666667,0.0,15.3,12.59
2022-03-21,255,111,144,2022,3,21,0,Monday,12,False,False,False,34,61.9,38.8,50.8,0.0,0.0,0.0,11.321488888888888,0.0,15.8,19.02
2022-03-22,180,87,93,2022,3,22,1,Tuesday,12,False,False,False,35,58.1,41.9,49.5,0.0,0.0,0.0,10.252694444444444,0.0,8.5,16.51
2022-03-23,130,56,74,2022,3,23,2,Wednesday,12,False,False,False,36,52.8,37.0,42.9,0.142,0.0,0.0,2.7991944444444448,0.142,13.2,9.92
2022-03-24,118,57,61,2022,3,24,3,Thursday,12,False,False,False,37,57.7,43.1,48.6,0.941,0.0,0.0,0.24905555555555556,0.941,12.1,7.41
2022-03-25,122,47,75,2022,3,25,4,Friday,12,False,False,False,38,57.2,42.3,49.7,0.024,0.0,0.0,8.413144444444445,0.024,13.0,14.49
2022-03-26,41,15,26,2022,3,26,5,Saturday,12,True,True,False,39,52.1,37.6,45.3,0.067,0.055,0.0,10.904691666666666,0.059,13.5,18.2
2022-03-27,20,0,20,2022,3,27,6,Sunday,12,True,False,True,40,42.3,26.1,36.3,0.0,0.0,0.0,11.409577777777779,0.0,16.1,15.37
2022-03-28,148,58,90,2022,3,28,0,Monday,13,False,False,False,41,31.7,19.9,25.8,0.012,0.083,0.0,9.801736111111111,0.0,16.9,17.19
2022-03-29,111,41,70,2022,3,29,1,Tuesday,13,False,False,False,42,40.0,21.4,29.7,0.0,0.0,0.0,11.669780555555555,0.0,13.3,22.46
2022-03-30,192,98,94,2022,3,30,2,Wednesday,13,False,False,False,43,47.2,24.9,36.1,0.012,0.0,0.0,8.46355,0.012,9.4,13.23
2022-03-31,178,87,91,2022,3,31,3,Thursday,13,False,False,False,44,67.6,45.2,59.2,0.449,0.0,0.0,0.131275,0.449,16.5,6.36
2022-04-01,193,88,105,2022,4,1,4,Friday,13,False,False,False,45,56.7,38.9,48.9,0.114,0.0,0.0,8.0,0.114,17.7,16.09
2022-04-02,75,31,44,2022,4,2,5,Saturday,13,True,True,False,46,53.2,31.4,42.0,0.0,0.0,0.0,11.82183611111111,0.0,9.6,23.43
2022-04-03,44,19,25,2022,4,3,6,Sunday,13,True,False,True,47,57.0,38.3,44.2,0.315,0.0,0.0,8.641016666666667,0.315,13.0,14.98
2022-04-04,191,63,128,2022,4,4,0,Monday,14,False,False,False,48,54.2,32.3,43.3,0.0,0.0,0.0,10.494472222222221,0.0,11.2,20.38
2022-04-05,165,60,105,2022,4,5,1,Tuesday,14,False,False,False,49,55.6,37.0,47.4,0.209,0.0,0.0,1.3841305555555554,0.209,8.3,8.24
2022-04-06,122,31,91,2022,4,6,2,Wednesday,14,False,False,False,50,58.1,46.0,51.0,1.043,0.0,0.0,1.8924888888888889,1.043,14.7,10.05
2022-04-07,114,27,87,2022,4,7,3,Thursday,14,False,False,False,51,55.0,44.8,48.5,1.067,0.0,0.0,0.0,1.067,13.4,3.75
2022-04-08,138,44,94,2022,4,8,4,Friday,14,False,False,False,52,60.1,40.8,49.9,0.028,0.0,0.0,10.970119444444444,0.028,10.7,20.4
2022-04-09,94,36,58,2022,4,9,5,Saturday,14,True,True,False,53,54.2,39.8,45.9,0.154,0.0,0.0,11.0,0.154,10.7,20.57
2022-04-10,38,12,26,2022,4,10,6,Sunday,14,True,False,True,54,48.4,35.7,42.7,0.004,0.0,0.0,8.661747222222223,0.004,16.6,15.44
2022-04-11,284,147,137,2022,4,11,0,Monday,15,False,False,False,55,59.1,32.5,46.4,0.0,0.0,0.0,11.0,0.0,8.2,23.74
2022-04-12,215,96,119,2022,4,12,1,Tuesday,15,False,False,False,56,68.8,45.2,56.4,0.043,0.0,0.0,9.37395,0.043,9.8,21.66
2022-04-13,226,80,146,2022,4,13,2,Wednesday,15,False,False,False,57,78.1,50.7,65.1,0.0,0.0,0.0,10.353591666666667,0.0,9.4,20.75
2022-04-14,193,50,143,2022,4,14,3,Thursday,15,False,False,False,58,79.1,52.7,66.1,0.303,0.0,0.0,10.359527777777778,0.303,13.6,18.9
2022-04-15,166,48,118,2022,4,15,4,Friday,15,False,False,False,59,66.1,44.2,55.8,0.0,0.0,0.0,12.097391666666667,0.0,13.1,25.87
2022-04-16,103,21,82,2022,4,16,5,Saturday,15,True,True,False,60,70.8,47.0,59.0,0.248,0.0,0.0,10.003419444444443,0.248,14.1,21.32
2022-04-17,26,0,26,2022,4,17,6,Sunday,15,True,False,True,61,49.5,35.3,43.5,0.0,0.0,0.0,11.07905,0.0,13.0,19.14
2022-04-18,190,43,147,2022,4,18,0,Monday,16,False,False,False,62,47.4,31.3,39.8,1.256,0.551,0.0,2.8859333333333335,1.177,13.6,8.17
2022-04-19,137,28,109,2022,4,19,1,Tuesday,16,False,False,False,63,49.9,36.6,42.5,0.161,0.0,0.0,12.119119444444445,0.161,18.0,22.73
2022-04-20,148,23,125,2022,4,20,2,Wednesday,16,False,False,False,64,56.1,34.6,45.2,0.0,0.0,0.0,12.286233333333334,0.0,10.7,26.44
2022-04-21,141,24,117,2022,4,21,3,Thursday,16,False,False,False,65,61.7,40.4,51.6,0.0,0.0,0.0,8.390094444444445,0.0,12.0,17.06
2022-04-22,144,15,129,2022,4,22,4,Friday,16,False,False,False,66,66.1,47.4,56.9,0.0,0.0,0.0,12.12136388888889,0.0,9.5,26.06
2022-04-23,51,8,43,2022,4,23,5,Saturday,16,True,True,False,67,61.8,45.6,52.3,0.0,0.0,0.0,3.441063888888889,0.0,7.2,9.22
2022-04-24,1,0,1,2022,4,24,6,Sunday,16,True,False,True,68,71.4,45.9,56.9,0.0,0.0,0.0,12.366741666666666,0.0,8.8,25.24
2022-04-25,212,25,187,2022,4,25,0,Monday,17,False,False,False,69,65.1,44.6,53.5,0.0,0.0,0.0,7.530091666666667,0.0,10.2,15.72
2022-04-26,122,15,107,2022,4,26,1,Tuesday,17,False,False,False,70,69.3,51.8,58.9,0.165,0.0,0.0,3.7144166666666667,0.165,10.1,12.6
2022-04-27,109,16,93,2022,4,27,2,Wednesday,17,False,False,False,71,53.3,38.8,47.1,0.0,0.0,0.0,11.274572222222222,0.0,15.6,23.02
2022-04-28,101,14,87,2022,4,28,3,Thursday,17,False,False,False,72,53.7,34.1,43.3,0.0,0.0,0.0,12.828586111111113,0.0,15.2,27.26
2022-04-29,90,15,75,2022,4,29,4,Friday,17,False,False,False,73,59.3,34.5,47.3,0.0,0.0,0.0,12.923586111111112,0.0,11.5,28.56
2022-04-30,40,5,35,2022,4,30,5,Saturday,17,True,True,False,74,65.3,35.8,51.5,0.0,0.0,0.0,12.959372222222221,0.0,9.4,28.57
2022-05-01,8,0,8,2022,5,1,6,Sunday,17,True,False,True,75,68.9,39.7,53.8,0.047,0.0,0.0,8.624455555555556,0.047,8.2,21.85
2022-05-02,118,22,96,2022,5,2,0,Monday,18,False,False,False,76,73.5,47.5,59.4,0.004,0.0,0.0,11.476558333333333,0.004,9.4,22.26
2022-05-03,91,17,74,2022,5,3,1,Tuesday,18,False,False,False,77,72.6,48.7,57.9,0.0,0.0,0.0,10.511747222222223,0.0,9.8,19.47
2022-05-04,75,10,65,2022,5,4,2,Wednesday,18,False,False,False,78,71.2,48.5,58.2,0.11,0.0,0.0,7.526400000000001,0.11,9.1,14.54
2022-05-05,74,9,65,2022,5,5,3,Thursday,18,False,False,False,79,72.9,50.0,60.7,0.0,0.0,0.0,12.269536111111112,0.0,9.1,23.01
